Institute,Program,Degree,Quota,Category,Gender,Opening_Rank,Closing_Rank
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,98684,103671
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Home State,EWS,Female-only (including Supernumerary),153051,153051
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,182169,220552
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,261614,261614
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,59170,60293
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,"(4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,63961,63961
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,66693,67394
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,73433,73433
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Home State,EWS,Female-only (including Supernumerary),67701,67701
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,151515,151515
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,248733,248733
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,46087,46097
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,47262,47262
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,49011,52653
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,81611,82536
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),86890,88704
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,108096,108096
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Home State,EWS,Female-only (including Supernumerary),136351,136351
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,169661,170295
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,49980,51229
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),75916,75916
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,53450,53450
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),88211,88211
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,55393,57850
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,13732,13737
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,24362,24362
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,15101,15101
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,17262,17412
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,and Engineering for DASA-CIWG (4,"Years, Bachelor",of,Technology),497878,497878
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,"and Engineering (4 Years, Bachelor",of Technology),Home,State,21022,21022
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,28491,29384
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,23687,23687
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,33138,33460
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,41063,41063
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,25402,25402
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),40523,40523
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,29055,30627
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),156023,156023
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Home,State,26947,27681
